Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Hairy cell leukemia,Hematological diseases,"Fatigue, weakness, frequent infections, easy bruising or bleeding, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, enlarged liver, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, recurrent infections, pancytopenia, easy bruising, feeling of fullness after eating small amounts",Chronic lymphoid leukemia (rare B-cell),vata;pitta;kapha
T-cell prolymphocytic leukemia,Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, swollen lymph nodes, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, enlarged liver, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, skin rashes, pleural effusion, ascites, high white blood cell count",Chronic lymphoid leukemia (T-cell),vata;pitta
B-cell prolymphocytic leukemia,Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, swollen lymph nodes, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, enlarged liver, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, very high white blood cell count, rapid disease progression",Chronic lymphoid leukemia (B-cell),pitta;kapha;vata
Chronic neutrophilic leukemia,Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, high neutrophil count, gout, splenomegaly, hepatomegaly",Chronic myeloid leukemia (neutrophilic),kapha;pitta;vata
T-cell large granular lymphocyte leukemia,Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, swollen lymph nodes, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, neutropenia, recurrent infections, rheumatoid arthritis, autoimmune symptoms",Chronic lymphoid leukemia (T-cell),vata;kapha;pitta
Aggressive NK-cell leukemia,Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, swollen lymph nodes, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, rapid disease progression, severe infections, liver dysfunction, coagulopathy, hemophagocytic syndrome",Chronic lymphoid leukemia (NK-cell),pitta;vata;kapha
Hodgkin lymphoma,Hematological diseases,"Painless enlarged lymph nodes (neck, armpit, groin), rubbery or swollen lymph nodes, fever, night sweats, unexplained weight loss, itchy skin, fatigue, low-grade fever, splenomegaly (enlarged spleen), chest pain, cough, shortness of breath, back or bone pain, pain in lymph nodes after alcohol, pallor, loss of appetite, systemic B symptoms (fever, night sweats, weight loss), pruritus, pain at nodal sites, superior vena cava syndrome (rare), hepatomegaly (rare), neurological symptoms (rare)",Lymphoma (Hodgkin type),pitta;kapha;vata
Non-Hodgkin lymphoma,Hematological diseases,"Painless swollen lymph nodes (neck, armpit, groin), fever, night sweats, unexplained weight loss, fatigue, loss of appetite, abdominal pain or swelling, chest pain, cough, shortness of breath, frequent infections, easy bruising or bleeding, pruritus, enlarged spleen or liver, anemia, bone pain, neurological symptoms (rare), skin rashes, night sweats, drenching sweats, persistent cough, fullness after eating small amounts",Lymphoma (Non-Hodgkin type),pitta;kapha;vata
Burkitt lymphoma,Hematological diseases,"Rapidly growing tumor (often jaw or abdomen), swollen lymph nodes, abdominal pain or swelling, night sweats, fever, unexplained weight loss, fatigue, bowel obstruction, gastrointestinal bleeding, ascites, enlarged spleen or liver, neurological symptoms (if CNS involved), jaw or facial bone swelling, loss of appetite, anemia, easy bruising or bleeding",High-grade B-cell lymphoma,pitta;vata
Anaplastic large cell lymphoma,Hematological diseases,"Painless swollen lymph nodes, fever, night sweats, weight loss, fatigue, skin lesions or rashes, bone pain, cough, shortness of breath, abdominal pain, loss of appetite, pruritus, enlarged spleen or liver, anemia, easy bruising or bleeding, neurological symptoms (rare), chest pain, back pain",T-cell lymphoma,pitta;vata
Splenic marginal zone lymphoma,Hematological diseases,"Enlarged spleen (splenomegaly), abdominal discomfort or pain, fatigue, anemia, easy bruising or bleeding, frequent infections, weight loss, night sweats, fever, loss of appetite, pallor, enlarged liver (sometimes), lymphocytosis, fullness after eating small amounts",Indolent B-cell lymphoma,kapha;vata
Hepatosplenic T-cell lymphoma,Hematological diseases,"Enlarged liver (hepatomegaly), enlarged spleen (splenomegaly), fever, night sweats, weight loss, fatigue, abdominal pain or fullness, anemia, easy bruising or bleeding, frequent infections, low platelet count, bone pain, loss of appetite, pallor, jaundice (sometimes), rapid disease progression",T-cell lymphoma,pitta;vata
Angioimmunoblastic T-cell lymphoma,Hematological diseases,"Generalized lymphadenopathy, fever, night sweats, weight loss, skin rash, pruritus, enlarged spleen or liver, anemia, fatigue, frequent infections, edema, joint pain, autoimmune symptoms, pleural effusion, ascites, neurological symptoms (rare), easy bruising or bleeding",Peripheral T-cell lymphoma,pitta;vata
Small lymphocytic lymphoma,Hematological diseases,"Painless swollen lymph nodes, fatigue, night sweats, weight loss, fever, frequent infections, enlarged spleen or liver, anemia, easy bruising or bleeding, pallor, loss of appetite, fullness after eating small amounts, pruritus, skin rashes, bone pain (rare)",Indolent B-cell lymphoma (related to CLL),kapha;vata
Multiple myeloma,Hematological diseases,"Bone pain (especially back, ribs, hips), fatigue, weakness, frequent infections, anemia, easy bruising or bleeding, high calcium (hypercalcemia), nausea, vomiting, constipation, weight loss, loss of appetite, excessive thirst, confusion, kidney dysfunction, numbness or tingling, spinal cord compression, fractures, pallor, night sweats, fever, shortness of breath",Plasma cell disorder (myeloma),vata;kapha;pitta
Waldenström macroglobulinemia,Hematological diseases,"Fatigue, weakness, weight loss, night sweats, fever, enlarged lymph nodes, enlarged spleen or liver, anemia, easy bruising or bleeding, frequent infections, vision changes, headache, dizziness, confusion, numbness or tingling, nosebleeds, gum bleeding, heart failure symptoms, hyperviscosity syndrome (thick blood), shortness of breath, pallor, loss of appetite",Lymphoplasmacytic lymphoma/plasma cell disorder,kapha;vata
Plasmacytoma,Hematological diseases,"Bone pain (localized), swelling or mass, fractures, fatigue, anemia, frequent infections, easy bruising or bleeding, weight loss, loss of appetite, numbness or tingling (if spinal involvement), weakness, pallor, hypercalcemia (sometimes), kidney dysfunction (rare), night sweats, fever",Plasma cell disorder (solitary tumor),vata;kapha
Idiopathic thrombocytopenic purpura (ITP),Hematological diseases,"Easy bruising, abnormal bleeding (nosebleeds, bleeding gums, heavy periods), petechiae (small red or purple spots on skin), blood in urine or stool, prolonged bleeding from cuts, fatigue, impaired healing, menorrhagia, melena, intracerebral or subarachnoid hemorrhage (rare), mucosal bleeding, skin bleeding, pallor, weakness, dizziness, headache, spontaneous bleeding, low platelet count",Autoimmune platelet disorder (thrombocytopenia),pitta;vata
Thrombotic thrombocytopenic purpura (TTP),Hematological diseases,"Easy bruising, petechiae, purpura, fatigue, fever, confusion, headache, neurological symptoms (seizures, stroke-like symptoms), jaundice, pallor, weakness, abdominal pain, chest pain, shortness of breath, kidney dysfunction, hematuria, proteinuria, dark urine, rapid heartbeat, bleeding gums, nosebleeds, spontaneous bleeding, low platelet count, microangiopathic hemolytic anemia",Thrombotic microangiopathy/platelet disorder,pitta;vata
Heparin-induced thrombocytopenia (HIT),Hematological diseases,"Easy bruising, abnormal bleeding, petechiae, purpura, pain or redness at injection site, new or worsening blood clots (deep vein thrombosis, pulmonary embolism), skin necrosis, limb pain, swelling, shortness of breath, chest pain, rapid heartbeat, low platelet count, pallor, weakness, dizziness, headache",Drug-induced platelet disorder (immune-mediated),pitta;vata
Glanzmann’s thrombasthenia,Hematological diseases,"Easy bruising, abnormal bleeding (nosebleeds, bleeding gums, heavy periods), prolonged bleeding from cuts, petechiae, purpura, blood in urine or stool, excessive bleeding after surgery or dental work, menorrhagia, mucosal bleeding, spontaneous bleeding, low platelet function, pallor, weakness, fatigue",Hereditary platelet function disorder,vata;pitta
Wiskott-Aldrich syndrome,Hematological diseases,"Easy bruising, abnormal bleeding, petechiae, purpura, recurrent infections, eczema, bloody diarrhea, prolonged bleeding, low platelet count, pallor, weakness, fatigue, autoimmune symptoms, increased risk of cancers, impaired healing, menorrhagia, mucosal bleeding, skin bleeding",Hereditary immunodeficiency/platelet disorder,vata;kapha
Bernard-Soulier syndrome,Hematological diseases,"Easy bruising, abnormal bleeding (nosebleeds, bleeding gums, heavy periods), prolonged bleeding from cuts, petechiae, purpura, excessive bleeding after surgery or dental work, menorrhagia, mucosal bleeding, spontaneous bleeding, low platelet count, large platelets, pallor, weakness, fatigue",Hereditary platelet function disorder,vata;pitta
Platelet function disorder,Hematological diseases,"Easy bruising, abnormal bleeding (nosebleeds, bleeding gums, heavy periods), prolonged bleeding from cuts, petechiae, purpura, excessive bleeding after surgery or dental work, menorrhagia, mucosal bleeding, spontaneous bleeding, low platelet function, pallor, weakness, fatigue",Platelet function disorder (hereditary or acquired),vata;pitta
Hemophilia A,Hematological diseases,"Prolonged bleeding, easy bruising, joint pain and swelling (hemarthrosis), muscle bleeding, spontaneous bleeding, excessive bleeding after injury or surgery, nosebleeds, bleeding gums, blood in urine or stool, intracranial hemorrhage (rare), pallor, weakness, fatigue",Hereditary coagulation disorder (factor VIII deficiency),vata;pitta
Hemophilia B (Christmas disease),Hematological diseases,"Prolonged bleeding, easy bruising, joint pain and swelling (hemarthrosis), muscle bleeding, spontaneous bleeding, excessive bleeding after injury or surgery, nosebleeds, bleeding gums, blood in urine or stool, intracranial hemorrhage (rare), pallor, weakness, fatigue",Hereditary coagulation disorder (factor IX deficiency),vata;pitta
Hemophilia C,Hematological diseases,"Prolonged bleeding, easy bruising, excessive bleeding after injury or surgery, nosebleeds, bleeding gums, blood in urine or stool, muscle bleeding, joint pain and swelling (less common), pallor, weakness, fatigue",Hereditary coagulation disorder (factor XI deficiency),vata;pitta
Von Willebrand disease,Hematological diseases,"Easy bruising, frequent or long-lasting nosebleeds, bleeding gums, prolonged bleeding after cuts, injury, surgery, dental work or childbirth, heavy or long menstrual periods, blood clots in menstrual blood, need to change pads/tampons more than once an hour, need for double sanitary protection, symptoms of anemia (tiredness, shortness of breath), blood in urine or stool, spontaneous bleeding episodes (in severe cases), bleeding into joints and muscles (rare, severe cases), lumpy bruises, excessive bleeding after minor trauma, reproductive tract bleeding during pregnancy and childbirth, mucosal bleeding, hematomas (type 3), no symptoms or mild symptoms (in many cases)",Hereditary bleeding disorder (coagulation factor deficiency),vata;pitta
