Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Alcoholic Liver Disease,Liver disease,"jaundice, fatigue, abdominal pain, nausea, anorexia, weight loss, hepatomegaly, ascites, confusion, spider angiomata, palmar erythema, gynecomastia, muscle wasting, pruritus, easy bruising, splenomegaly, edema, gastrointestinal bleeding",Hepatobiliary disease,Pitta,jaundice fatigue abdominal pain nausea anorexia weight loss hepatomegaly ascites confusion spider angiomata palmar erythema gynecomastia muscle wasting pruritus easy bruising splenomegaly edema gastrointestinal bleeding,pitta
Alcoholic Hepatitis,Liver disease,"fever, right upper quadrant pain, jaundice, anorexia, nausea, vomiting, hepatomegaly, ascites, confusion, encephalopathy, coagulopathy, weight loss, malaise, tender liver",Hepatobiliary disease,Pitta,fever right upper quadrant pain jaundice anorexia nausea vomiting hepatomegaly ascites confusion encephalopathy coagulopathy weight loss malaise tender liver,pitta
Amoebic Liver Abscess,Liver disease,"fever, right upper quadrant pain, hepatomegaly, chills, sweating, weight loss, malaise, jaundice (rare), tender liver, cough, pleuritic pain, anorexia, nausea, vomiting",Infectious disease,Pitta,fever right upper quadrant pain hepatomegaly chills sweating weight loss malaise jaundice rare tender liver cough pleuritic pain anorexia nausea vomiting,pitta
Non-Alcoholic Steatohepatitis (NASH),Liver disease,"fatigue, right upper quadrant discomfort, hepatomegaly, mild jaundice, malaise, weight gain or loss, elevated liver enzymes, insulin resistance features, pruritus, easy bruising",Metabolic disease,Kapha,fatigue right upper quadrant discomfort hepatomegaly mild jaundice malaise weight gain or loss elevated liver enzymes insulin resistance features pruritus easy bruising,kapha
Primary Biliary Cholangitis,Liver disease,"pruritus, fatigue, jaundice, hepatomegaly, xanthomas, xanthelasmas, hyperpigmentation, dry eyes, dry mouth, steatorrhea, osteoporosis, right upper quadrant discomfort",Autoimmune disease,Pitta,pruritus fatigue jaundice hepatomegaly xanthomas xanthelasmas hyperpigmentation dry eyes dry mouth steatorrhea osteoporosis right upper quadrant discomfort,pitta
Primary Sclerosing Cholangitis,Liver disease,"pruritus, jaundice, fatigue, right upper quadrant pain, weight loss, fever, hepatomegaly, splenomegaly, steatorrhea, cholangitis attacks, portal hypertension signs, dark urine, pale stools",Autoimmune disease,Pitta,pruritus jaundice fatigue right upper quadrant pain weight loss fever hepatomegaly splenomegaly steatorrhea cholangitis attacks portal hypertension signs dark urine pale stools,pitta
Hepatitis A,Liver disease,"fever, malaise, fatigue, nausea, vomiting, abdominal discomfort, jaundice, anorexia, dark urine, pale stools, pruritus, diarrhea, arthralgia",Infectious disease,Pitta,fever malaise fatigue nausea vomiting abdominal discomfort jaundice anorexia dark urine pale stools pruritus diarrhea arthralgia,pitta
Hepatitis B,Liver disease,"fever, malaise, fatigue, anorexia, nausea, vomiting, abdominal pain, jaundice, dark urine, pale stools, pruritus, arthralgia, skin rash, hepatomegaly",Infectious disease,Pitta,fever malaise fatigue anorexia nausea vomiting abdominal pain jaundice dark urine pale stools pruritus arthralgia skin rash hepatomegaly,pitta
Hepatitis C,Liver disease,"fatigue, malaise, mild jaundice, anorexia, nausea, abdominal pain, dark urine, pale stools, pruritus, arthralgia, skin rash, hepatomegaly, depression",Infectious disease,Pitta,fatigue malaise mild jaundice anorexia nausea abdominal pain dark urine pale stools pruritus arthralgia skin rash hepatomegaly depression,pitta
Hepatitis D,Liver disease,"fatigue, jaundice, abdominal pain, nausea, vomiting, anorexia, dark urine, pale stools, joint pain, pruritus, hepatomegaly",Infectious disease,Pitta,fatigue jaundice abdominal pain nausea vomiting anorexia dark urine pale stools joint pain pruritus hepatomegaly,pitta
Autoimmune Hepatitis,Liver disease,"fatigue, jaundice, abdominal discomfort, joint pain, nausea, loss of appetite, dark urine, pale stools, pruritus, spider angiomata, hepatomegaly, amenorrhea (in women), skin rashes, mild fever",Autoimmune disease,Pitta,fatigue jaundice abdominal discomfort joint pain nausea loss of appetite dark urine pale stools pruritus spider angiomata hepatomegaly amenorrhea in women skin rashes mild fever,pitta
Cirrhosis,Liver disease,"fatigue, weakness, loss of appetite, weight loss, jaundice, pruritus, easy bruising, ascites, edema, spider angiomata, palmar erythema, gynecomastia, confusion, muscle wasting, splenomegaly, gastrointestinal bleeding, dark urine, pale stools",Chronic liver disease,Pitta;Kapha,fatigue weakness loss of appetite weight loss jaundice pruritus easy bruising ascites edema spider angiomata palmar erythema gynecomastia confusion muscle wasting splenomegaly gastrointestinal bleeding dark urine pale stools,pitta|kapha
Liver Failure,Liver disease,"jaundice, confusion, drowsiness, easy bruising, bleeding, ascites, edema, nausea, vomiting, loss of appetite, fatigue, muscle wasting, pruritus, dark urine, pale stools, breath odor (foetor hepaticus), hepatic encephalopathy",Hepatobiliary disease,Pitta,jaundice confusion drowsiness easy bruising bleeding ascites edema nausea vomiting loss of appetite fatigue muscle wasting pruritus dark urine pale stools breath odor foetor hepaticus hepatic encephalopathy,pitta
Hepatocellular Carcinoma (Liver Cancer),Liver disease,"weight loss, loss of appetite, upper abdominal pain, jaundice, fatigue, weakness, hepatomegaly, ascites, fever, nausea, vomiting, pruritus, palpable mass, dark urine, pale stools",Malignant neoplasm,Pitta,weight loss loss of appetite upper abdominal pain jaundice fatigue weakness hepatomegaly ascites fever nausea vomiting pruritus palpable mass dark urine pale stools,pitta
Hepatoblastoma,Liver disease,"abdominal swelling, palpable mass, pain, weight loss, anorexia, jaundice (rare), fever, nausea, vomiting, anemia, fatigue",Malignant neoplasm (pediatric),Pitta,abdominal swelling palpable mass pain weight loss anorexia jaundice rare fever nausea vomiting anemia fatigue,pitta
Polycystic Liver Disease,Liver disease,"abdominal discomfort, fullness, bloating, hepatomegaly, early satiety, back pain, rarely jaundice, sometimes palpable masses, rarely ascites",Genetic disorder,Kapha,abdominal discomfort fullness bloating hepatomegaly early satiety back pain rarely jaundice sometimes palpable masses rarely ascites,kapha
Hepatic Encephalopathy,Liver disease,"confusion, drowsiness, personality changes, forgetfulness, poor concentration, asterixis (flapping tremor), slurred speech, irritability, sleep disturbances, disorientation, coma (severe), musty breath odor",Complication of liver disease,Vata;Pitta,confusion drowsiness personality changes forgetfulness poor concentration asterixis flapping tremor slurred speech irritability sleep disturbances disorientation coma severe musty breath odor,vata|pitta
Haemangioma,Liver disease,"usually asymptomatic, but can cause right upper quadrant pain, fullness, nausea, early satiety, rarely jaundice, palpable mass (if large)",Benign tumor,Kapha,usually asymptomatic but can cause right upper quadrant pain fullness nausea early satiety rarely jaundice palpable mass if large,kapha
Haemochromatosis,Liver disease,"fatigue, joint pain, abdominal pain, weakness, weight loss, skin hyperpigmentation (bronze skin), hepatomegaly, diabetes, loss of libido, heart problems, cirrhosis signs, pruritus, dark urine, arthralgia",Metabolic disorder,Pitta,fatigue joint pain abdominal pain weakness weight loss skin hyperpigmentation bronze skin hepatomegaly diabetes loss of libido heart problems cirrhosis signs pruritus dark urine arthralgia,pitta
Glycogen Storage Disease (GSD),Liver disease,"hypoglycemia, fatigue, low muscle tone, growth problems, short stature, muscle pain, muscle cramps, bulging abdomen, hepatomegaly, nephromegaly, acidosis, elevated uric acid, elevated lactate, elevated lipids, seizures, arthritis, gout, inflammatory bowel disease, dental problems, recurrent infections, pulmonary hypertension, portal hypertension, liver cirrhosis, irritability, pallor, cyanosis, hypotonia, tremors, loss of consciousness, apnea",Metabolic/genetic disorder,Kapha,hypoglycemia fatigue low muscle tone growth problems short stature muscle pain muscle cramps bulging abdomen hepatomegaly nephromegaly acidosis elevated uric acid elevated lactate elevated lipids seizures arthritis gout inflammatory bowel disease dental problems recurrent infections pulmonary hypertension portal hypertension liver cirrhosis irritability pallor cyanosis hypotonia tremors loss of consciousness apnea,kapha
Wilson Disease,Liver disease,"jaundice, fatigue, abdominal pain, hepatomegaly, splenomegaly, neurological symptoms (tremors, dystonia, dysarthria, psychiatric changes), Kayser-Fleischer rings, anemia, easy bruising, ascites, edema, joint pain, behavioral changes",Metabolic/genetic disorder,Pitta,jaundice fatigue abdominal pain hepatomegaly splenomegaly neurological symptoms tremors dystonia dysarthria psychiatric changes kayser fleischer rings anemia easy bruising ascites edema joint pain behavioral changes,pitta
Gaucher Disease (affecting liver),Liver disease,"hepatomegaly, splenomegaly, fatigue, bone pain, bone fractures, anemia, easy bruising, bleeding, growth retardation, lung problems, neurological symptoms (in some types), abdominal distension",Lysosomal storage disorder,Kapha,hepatomegaly splenomegaly fatigue bone pain bone fractures anemia easy bruising bleeding growth retardation lung problems neurological symptoms in some types abdominal distension,kapha
Acute Hepatic Porphyria,Liver disease,"abdominal pain, vomiting, constipation, muscle weakness, neuropathy, psychiatric symptoms (anxiety, confusion, hallucinations), tachycardia, hypertension, dark urine, seizures",Metabolic disorder,Pitta,abdominal pain vomiting constipation muscle weakness neuropathy psychiatric symptoms anxiety confusion hallucinations tachycardia hypertension dark urine seizures,pitta
Acute Liver Failure,Liver disease,"jaundice, confusion, drowsiness, easy bruising, bleeding, ascites, edema, nausea, vomiting, loss of appetite, fatigue, muscle wasting, pruritus, dark urine, pale stools, breath odor (foetor hepaticus), hepatic encephalopathy",Hepatobiliary disease,Pitta,jaundice confusion drowsiness easy bruising bleeding ascites edema nausea vomiting loss of appetite fatigue muscle wasting pruritus dark urine pale stools breath odor foetor hepaticus hepatic encephalopathy,pitta
Alagille Syndrome,Liver disease,"jaundice, pruritus, xanthomas, hepatomegaly, growth retardation, heart murmurs, butterfly vertebrae, facial features (broad forehead, deep-set eyes, pointed chin), pale stools, dark urine, eye abnormalities",Genetic disorder,Pitta;Kapha,jaundice pruritus xanthomas hepatomegaly growth retardation heart murmurs butterfly vertebrae facial features broad forehead deep set eyes pointed chin pale stools dark urine eye abnormalities,pitta|kapha
Alpha-1 Antitrypsin Deficiency,Liver disease,"jaundice, hepatomegaly, pruritus, fatigue, cirrhosis signs, ascites, edema, easy bruising, respiratory symptoms (cough, wheezing, shortness of breath), neonatal hepatitis",Genetic disorder,Pitta,jaundice hepatomegaly pruritus fatigue cirrhosis signs ascites edema easy bruising respiratory symptoms cough wheezing shortness of breath neonatal hepatitis,pitta
Bile Duct Cancer (Cholangiocarcinoma),Liver disease,"jaundice, pruritus, abdominal pain, weight loss, fever, hepatomegaly, dark urine, pale stools, loss of appetite, fatigue, ascites",Malignant neoplasm,Pitta,jaundice pruritus abdominal pain weight loss fever hepatomegaly dark urine pale stools loss of appetite fatigue ascites,pitta
Biliary Atresia,Liver disease,"jaundice, pale stools, dark urine, hepatomegaly, splenomegaly, failure to thrive, ascites, pruritus, easy bruising, portal hypertension signs",Congenital disorder,Pitta,jaundice pale stools dark urine hepatomegaly splenomegaly failure to thrive ascites pruritus easy bruising portal hypertension signs,pitta
Hepatic Cysts,Liver disease,"usually asymptomatic, but can cause abdominal discomfort, fullness, bloating, hepatomegaly, palpable mass, rarely jaundice, rarely infection or rupture",Benign lesion,Kapha,usually asymptomatic but can cause abdominal discomfort fullness bloating hepatomegaly palpable mass rarely jaundice rarely infection or rupture,kapha
Gilbert's Syndrome,Liver disease,"mild jaundice, fatigue, mild abdominal discomfort, nausea, no other significant symptoms, often triggered by fasting, illness, or stress",Genetic disorder,Pitta,mild jaundice fatigue mild abdominal discomfort nausea no other significant symptoms often triggered by fasting illness or stress,pitta
